id	filename	md5	size	state
31e8a190-f76f-4d72-96b5-a7a234e0a4b8	31e8a190-f76f-4d72-96b5-a7a234e0a4b8/c43d1d7a-0986-43a8-9b17-79d58ee5681f.mirnaseq.mirnas.quantification.txt	395c165c46131ed5a637b7ae8d496792	49641	validated
35193f10-1d6e-4273-bf41-d34cac3633c3	35193f10-1d6e-4273-bf41-d34cac3633c3/41d8bbeb-8ae4-4003-9379-fd04c40448aa.mirnaseq.mirnas.quantification.txt	522b1d2b63f7da1721b1537838ff4bbe	49578	validated
3590c4d0-c0ad-4614-a391-6db7c6369184	3590c4d0-c0ad-4614-a391-6db7c6369184/38143e8e-88d5-42e3-9026-4f980aa81983.mirnaseq.mirnas.quantification.txt	8c951d540da70902a40e97f61bcac534	49370	validated
362b61e1-503e-4043-81a3-ab284a2b0c92	362b61e1-503e-4043-81a3-ab284a2b0c92/55abb350-596e-4897-a593-b3b6588bd082.mirnaseq.mirnas.quantification.txt	4532d3d893e52bfba84952ff8fc34d52	49305	validated
36eddcc9-2801-46b8-835d-a5854341bb85	36eddcc9-2801-46b8-835d-a5854341bb85/2f1dda1e-9ff8-4244-a7ef-9ee5de49b6e8.mirnaseq.mirnas.quantification.txt	8333dbdb7d365e4b84309c766b42294f	49293	validated
b400e1c3-7d4a-439d-a93a-12f804ff2ecd	b400e1c3-7d4a-439d-a93a-12f804ff2ecd/9e12a6bf-2512-4dd7-83ad-984bd1545b4f.mirnaseq.mirnas.quantification.txt	05b3163af1595b9fd1837d784e89a2d4	49313	validated
37e68953-98b0-44ed-91d5-e4e4cecb0a12	37e68953-98b0-44ed-91d5-e4e4cecb0a12/bc1801ed-e6fe-4624-ab40-b9135283b6eb.mirnaseq.mirnas.quantification.txt	9264dfec095fa157540c76d2d4d9855c	49322	validated
4a32de8e-837c-4725-8cef-81c5a8eb1d53	4a32de8e-837c-4725-8cef-81c5a8eb1d53/fa921454-e0dd-4ec9-bbdb-26253f6c896e.mirnaseq.mirnas.quantification.txt	2d011661e6b81132767448ba3433366f	49338	validated
387cf9f9-67e0-4074-9494-2cf43e02651b	387cf9f9-67e0-4074-9494-2cf43e02651b/18828808-82cd-4475-937e-4564fd6c1c12.mirnaseq.mirnas.quantification.txt	77d35047f9af1ec77ec8a501c1445887	49339	validated
38ce04ed-c582-45a9-b20e-3bb5c8de75e4	38ce04ed-c582-45a9-b20e-3bb5c8de75e4/c30a40ca-2d3e-41e2-9e9c-d7a24bfa2d4a.mirnaseq.mirnas.quantification.txt	d993f6c8d2788073dfc395005dd9c41b	49327	validated
b53b865a-ae85-4c2a-8eed-55a18b225ee4	b53b865a-ae85-4c2a-8eed-55a18b225ee4/ed8a650b-c07a-4546-bb3e-b7cb32be5680.mirnaseq.mirnas.quantification.txt	b024c1fc6cf3e3682313faf4013c318c	49297	validated
3928a653-ca93-48ae-a565-324dd01f8272	3928a653-ca93-48ae-a565-324dd01f8272/5590afea-e5d4-4d83-81ae-2712c7053630.mirnaseq.mirnas.quantification.txt	9edaec86aa953d60496e90e381156e66	49346	validated
4fa94a06-76c0-46f0-a308-af43f54b37eb	4fa94a06-76c0-46f0-a308-af43f54b37eb/d6a496ed-e8e6-4477-9433-d4653e0c5f7a.mirnaseq.mirnas.quantification.txt	6162dd09e46585d6828080027f9cc332	49547	validated
3a77876a-f4c9-4ff1-963f-4421edf6294a	3a77876a-f4c9-4ff1-963f-4421edf6294a/39a79de2-9444-478c-bd1f-441b07ff10dc.mirnaseq.mirnas.quantification.txt	82acd3716ae5a74244f6ac4676a5cec1	49342	validated
3ac67171-5540-40d9-a344-e3ef77b55d34	3ac67171-5540-40d9-a344-e3ef77b55d34/8f2145cc-e0fa-4209-ba18-c8a078f201b0.mirnaseq.mirnas.quantification.txt	37eaec59d787c260200b849f65e0ee81	49348	validated
288d27ef-ff97-4a34-8daf-5d492716f5a9	288d27ef-ff97-4a34-8daf-5d492716f5a9/4cf79165-fcb1-4d82-9fb3-69b8fe0758cd.mirnaseq.mirnas.quantification.txt	e4a665ee5e91bfccdb24cc2a7031b428	49483	validated
953d67ee-f738-4514-8863-2e36d2a3951e	953d67ee-f738-4514-8863-2e36d2a3951e/7e31baa3-c6a3-4b5a-824e-17570fdd2748.mirnaseq.mirnas.quantification.txt	f96d4f36a9e2e03e0bd1744a420a103b	49305	validated
3b9df548-40db-4eed-8f42-f8335027ce33	3b9df548-40db-4eed-8f42-f8335027ce33/a7d7dfdf-da4d-4028-8c9f-f60523c986f4.mirnaseq.mirnas.quantification.txt	1325199b15c19a9d6cfdd8573326f989	49333	validated
3bc4a530-d293-4ac2-823a-1dd19527d90b	3bc4a530-d293-4ac2-823a-1dd19527d90b/12a4f140-4a94-4cc9-b530-e39626c570e1.mirnaseq.mirnas.quantification.txt	3176eac56b34ba666138b2811379d65c	49292	validated
9e4f79c5-2cc9-4ead-9ec2-5bfa99ae4511	9e4f79c5-2cc9-4ead-9ec2-5bfa99ae4511/ccbdab6b-0f04-4dd7-af81-826cb3d20253.mirnaseq.mirnas.quantification.txt	cb474cb470bd8f4534a734b075c97515	50378	validated
bbe93f3f-8f9a-4b0c-968f-d21cf5103552	bbe93f3f-8f9a-4b0c-968f-d21cf5103552/39ef92b6-24e3-489d-abaa-32ad2d451d69.mirnaseq.mirnas.quantification.txt	00495361409b692bf31880923f2bca2c	50298	validated
c7366115-4c58-44f7-9e9e-602c7c2619f5	c7366115-4c58-44f7-9e9e-602c7c2619f5/3426c268-cde1-4df5-a2f8-279a35f926bf.mirnaseq.mirnas.quantification.txt	138ec40dbd0cca473878fcb49822ce2e	50449	validated
813f6e27-73e8-4214-b927-d7921c9fb3e7	813f6e27-73e8-4214-b927-d7921c9fb3e7/1a907018-4584-4c84-afdc-3f2d62c56142.mirnaseq.mirnas.quantification.txt	3e643670a8bb16240117cd34b7afabee	50487	validated
0b837e0d-4e5b-4965-8d8c-e5bb506cef99	0b837e0d-4e5b-4965-8d8c-e5bb506cef99/390c340d-f7be-4757-8b21-34d8989ad377.mirnaseq.mirnas.quantification.txt	fc428113ff2bbcdbd70907cd8d3a9358	50437	validated
d3c680a0-6e9c-4fb5-92f9-8f6d82a36a21	d3c680a0-6e9c-4fb5-92f9-8f6d82a36a21/aa991743-c546-4b82-929b-9b52f847b898.mirnaseq.mirnas.quantification.txt	0362ff924ebba54a0322308b5ebd6fe2	50566	validated
3aeea9c2-6e60-4c8a-a6af-08800c4e5736	3aeea9c2-6e60-4c8a-a6af-08800c4e5736/1b92cf82-a191-4af1-b2b2-ffdf5c825866.mirnaseq.mirnas.quantification.txt	7247b4648f9a826f8f356fd3e3c0b319	50510	validated
3fcab8e9-947c-41fe-8c4c-6db8708319e4	3fcab8e9-947c-41fe-8c4c-6db8708319e4/1cdb307d-6106-48a0-b055-18f74f705f64.mirnaseq.mirnas.quantification.txt	7925f9854b6c10e5a4e28392cacad1cd	49719	validated
3ff23c1b-158f-4967-a689-2e709be7b89e	3ff23c1b-158f-4967-a689-2e709be7b89e/869e9c2d-082d-4593-a812-ccfe81ef5807.mirnaseq.mirnas.quantification.txt	24ef1d83584acbc973973c1da253b30e	49366	validated
bddddfbb-6246-48db-8ecc-6e0a904a09a8	bddddfbb-6246-48db-8ecc-6e0a904a09a8/984a5351-a813-40d8-9e4f-4182664f0ab7.mirnaseq.mirnas.quantification.txt	d02601dcca962fe53a893d70b58fe7be	49301	validated
bd3938fe-8698-4ff0-b70c-74ca1d59f287	bd3938fe-8698-4ff0-b70c-74ca1d59f287/dca9ce3e-0ce4-4053-ae66-9c5f76e4c849.mirnaseq.mirnas.quantification.txt	4fcc3be52e28d11ea4bf4c38755c608e	49656	validated
442268f8-1102-4842-beae-72bc75dbd5fd	442268f8-1102-4842-beae-72bc75dbd5fd/c9dc740f-07d8-476f-9a38-d3ed3a2c2463.mirnaseq.mirnas.quantification.txt	0ce52bf14ed9f69064b6941c2b710901	49577	validated
bf66632b-141a-4cc0-965d-2acdc186fbe7	bf66632b-141a-4cc0-965d-2acdc186fbe7/c1d263ce-08c0-4edd-96ec-e342083636fe.mirnaseq.mirnas.quantification.txt	d6e37a0845d1bfdb2d2fcabb7201b887	49293	validated
51d99221-6c8c-4212-a554-7bfe3e728eef	51d99221-6c8c-4212-a554-7bfe3e728eef/2545f601-a4fc-4224-861e-373a1e991868.mirnaseq.mirnas.quantification.txt	56ded1cb7f5a0b3cb8a433f60e8ad41e	49324	validated
55b5196f-7a80-496b-8d9e-01f7686a81b3	55b5196f-7a80-496b-8d9e-01f7686a81b3/1557d42e-0ebb-441a-86c1-16be462ef50d.mirnaseq.mirnas.quantification.txt	3b985e47eb9f0ccd81ee9c65a1393596	49276	validated
c0d4d5be-9ea0-4a1a-b0af-c2aac7ca8020	c0d4d5be-9ea0-4a1a-b0af-c2aac7ca8020/97d508ad-57d0-4acf-a1e1-09631c58ce22.mirnaseq.mirnas.quantification.txt	56c06995a7683290497f5db7efc8ba2c	49624	validated
