miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	77074	17360.447893	N
hsa-let-7a-2	73050	16454.066463	Y
hsa-let-7a-3	73435	16540.785362	N
hsa-let-7b	21543	4852.429210	N
hsa-let-7c	6087	1371.059583	Y
hsa-let-7d	19878	4477.398127	N
hsa-let-7e	10853	2444.571983	N
hsa-let-7f-1	81131	18274.262371	N
hsa-let-7f-2	86072	19387.192452	N
hsa-let-7g	78228	17620.379347	N
hsa-let-7i	35180	7924.080194	N
hsa-mir-1-1	808	181.997066	N
hsa-mir-1-2	897	202.043773	N
hsa-mir-100	32383	7294.073022	N
hsa-mir-101-1	7471	1682.797133	N
hsa-mir-101-2	7848	1767.714081	N
hsa-mir-103a-1	26798	6036.085874	Y
hsa-mir-103a-2	27918	6288.359035	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	379	85.367436	N
hsa-mir-105-2	358	80.637314	N
hsa-mir-106a	482	108.567557	Y
hsa-mir-106b	15001	3378.883655	N
hsa-mir-107	3352	755.017533	Y
hsa-mir-10a	28222	6356.833179	N
hsa-mir-10b	2229	502.068640	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.675732	N
hsa-mir-1180	178	40.093413	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	41	9.235000	N
hsa-mir-1185-2	7	1.576707	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	6	1.351463	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	14	3.153415	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	2	0.450488	N
hsa-mir-1226	76	17.118536	N
hsa-mir-1227	1	0.225244	N
hsa-mir-1228	23	5.180610	N
hsa-mir-1229	39	8.784512	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	2	0.450488	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.675732	N
hsa-mir-1236	2	0.450488	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	10	2.252439	N
hsa-mir-124-2	24	5.405853	N
hsa-mir-124-3	29	6.532073	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	1	0.225244	N
hsa-mir-1244-2	1	0.225244	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	5	1.126219	N
hsa-mir-1245b	3	0.675732	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	6	1.351463	N
hsa-mir-1248	33	7.433049	N
hsa-mir-1249	42	9.460244	N
hsa-mir-1250	6	1.351463	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	2	0.450488	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	93	20.947682	N
hsa-mir-1254-2	85	19.145731	N
hsa-mir-1255a	29	6.532073	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	66666	15016.109443	N
hsa-mir-125b-1	14284	3217.383783	N
hsa-mir-125b-2	14323	3226.168295	N
hsa-mir-126	40121	9037.010275	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	9	2.027195	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.450488	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	9	2.027195	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	149	33.561340	N
hsa-mir-1269b	51	11.487439	N
hsa-mir-127	629	141.678409	N
hsa-mir-1270	2	0.450488	N
hsa-mir-1271	289	65.095485	N
hsa-mir-1272	3	0.675732	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.225244	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	16	3.603902	N
hsa-mir-1277	3	0.675732	N
hsa-mir-1278	3	0.675732	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	1649	371.427181	N
hsa-mir-128-2	1362	306.782184	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	15	3.378658	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.225244	N
hsa-mir-1287	87	19.596219	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	1	0.225244	N
hsa-mir-129-1	5	1.126219	N
hsa-mir-129-2	5	1.126219	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	8	1.801951	N
hsa-mir-1292	24	5.405853	N
hsa-mir-1293	12	2.702927	N
hsa-mir-1294	2	0.450488	N
hsa-mir-1295a	10	2.252439	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	178	40.093413	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1410	317.593891	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	5	1.126219	N
hsa-mir-1304	23	5.180610	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	42	9.460244	N
hsa-mir-1307	1954	440.126569	N
hsa-mir-130a	178	40.093413	N
hsa-mir-130b	847	190.781578	N
hsa-mir-132	966	217.585602	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	168	37.840974	Y
hsa-mir-133a-2	193	43.472072	Y
hsa-mir-133b	6	1.351463	Y
hsa-mir-134	110	24.776828	N
hsa-mir-1343	19	4.279634	N
hsa-mir-135a-1	97	21.848658	N
hsa-mir-135a-2	121	27.254511	N
hsa-mir-135b	8398	1891.598223	N
hsa-mir-136	56	12.613658	N
hsa-mir-137	6	1.351463	N
hsa-mir-138-1	29	6.532073	N
hsa-mir-138-2	11	2.477683	N
hsa-mir-139	611	137.624019	N
hsa-mir-140	7020	1581.212137	N
hsa-mir-141	3790	853.674359	N
hsa-mir-142	3197	720.104729	N
hsa-mir-143	60021	13519.363767	N
hsa-mir-144	529	119.154020	N
hsa-mir-145	7841	1766.137374	N
hsa-mir-1468	15	3.378658	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	1980	445.982910	N
hsa-mir-146b	37757	8504.533709	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	26	5.856341	N
hsa-mir-148a	20949	4718.634337	N
hsa-mir-148b	3000	675.731682	N
hsa-mir-149	1925	433.594496	N
hsa-mir-150	2141	482.247177	N
hsa-mir-151a	10332	2327.219914	N
hsa-mir-151b	48	10.811707	N
hsa-mir-152	949	213.756455	N
hsa-mir-153-1	0	0.000000	N
hsa-mir-153-2	1	0.225244	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	484	109.018045	N
hsa-mir-155	4316	972.152647	N
